Beta,Energy,Energy Squared,Magnetization,Magnetization Squared,Absolute Magnetization,Specific Heat,Susceptibility,Cluster Size,Non-Wrapping Cluster Size,Wrapping Probability,Dominant Frequency,Dominant Amplitude,Rho T,Unique Families,Overlap,Absolute Overlap,Overlap Variance,Free Energy
0.685292,-1.9574,3923.76,0.0100335,1000.16,0.988273,0.182294,0.024069,998.948,0.0194364,0.986955,0,31.6247,29.3219,656,0.024931,0.976612,-0.953676,700.781
0.69142,-1.95997,3934.05,0.0255847,1001.66,0.989014,0.178269,0.0228097,1000.35,0.0184686,0.987725,0,31.6485,29.4635,656,0.0037011,0.978073,-0.956531,713.072
0.697687,-1.96183,3941.5,0.0126558,1002.78,0.98957,0.171276,0.0213391,1001.27,0.0174486,0.988013,0,31.6662,29.6263,655,0.00542632,0.979368,-0.959066,725.656
0.704114,-1.96416,3950.83,-0.00437086,1004.15,0.990245,0.159582,0.01953,1002.8,0.0160992,0.988914,0,31.6878,29.714,651,-0.0204936,0.980653,-0.961585,738.576
0.710767,-1.96574,3957.19,-0.00474624,1005.06,0.990698,0.159847,0.0192361,1004.34,0.0146873,0.989883,0,31.7023,29.9683,649,0.0134009,0.981529,-0.963303,751.964
0.71757,-1.9683,3967.48,-0.00907711,1006.51,0.991414,0.147204,0.0173645,1005.19,0.0140383,0.990155,0,31.7252,29.7993,649,-0.00258892,0.982932,-0.96606,765.665
0.724619,-1.97006,3974.56,0.00115932,1007.47,0.991887,0.144355,0.0168903,1006.3,0.012882,0.99072,0,31.7404,29.8643,647,-0.0135007,0.98379,-0.967747,779.88
0.73187,-1.97215,3982.97,-0.00223328,1008.74,0.992513,0.135596,0.0151068,1007.52,0.0122299,0.991433,0,31.7604,29.9156,647,-0.00226174,0.985084,-0.970295,794.514
0.739373,-1.97346,3988.26,-0.00982144,1009.45,0.992859,0.130212,0.0145194,1008.4,0.0114408,0.991777,0,31.7715,29.9023,647,0.0069185,0.985762,-0.97163,809.673
0.747124,-1.97558,3996.8,0.00328684,1010.65,0.99345,0.121581,0.0132489,1009.44,0.0107278,0.992327,0,31.7904,30.0044,646,-0.0270911,0.986939,-0.973951,825.344
0.755176,-1.97682,4001.8,0.000716977,1011.37,0.993804,0.11788,0.0124292,1010.64,0.00946688,0.993038,0,31.8017,30.199,641,0.00274899,0.987637,-0.97533,841.641
